"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"glucosinolate biosynthetic process from phenylalanine [GO:0033507]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"glutamate catabolic process to butyrate [GO:0033508]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"glutamate catabolic process to propionate [GO:0033509]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"luteolin metabolic process [GO:0033510]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"luteolin biosynthetic process [GO:0033511]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-lysine catabolic process to acetyl-CoA via 5-aminopentanamide [GO:0033513]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-lysine catabolic process to acetyl-CoA via L-pipecolate [GO:0033514]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-lysine catabolic process using lysine 6-aminotransferase [GO:0033515]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-methionine biosynthetic process from homoserine via O-phospho-L-homoserine and cystathionine [GO:0033516]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"myo-inositol hexakisphosphate metabolic process [GO:0033517]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"myo-inositol hexakisphosphate dephosphorylation [GO:0033518]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phytyl diphosphate metabolic process [GO:0033519]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phytol biosynthetic process [GO:0033520]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phytyl diphosphate biosynthetic process [GO:0033521]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2A ubiquitination [GO:0033522]",0.0109464007581875,1,0.210081944302247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2B ubiquitination [GO:0033523]",0.153712731088462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sinapate ester metabolic process [GO:0033524]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sinapate ester biosynthetic process [GO:0033525]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tetrapyrrole biosynthetic process from glutamate [GO:0033526]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tetrapyrrole biosynthetic process from glycine and succinyl-CoA [GO:0033527]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"S-methylmethionine cycle [GO:0033528]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"raffinose biosynthetic process [GO:0033529]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"raffinose metabolic process [GO:0033530]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stachyose metabolic process [GO:0033531]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stachyose biosynthetic process [GO:0033532]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"verbascose metabolic process [GO:0033533]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"verbascose biosynthetic process [GO:0033534]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ajugose metabolic process [GO:0033535]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ajugose biosynthetic process [GO:0033536]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ajugose biosynthetic process using galactinol:raffinose galactosyltransferase [GO:0033537]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ajugose biosynthetic process using galactan:galactan galactosyltransferase [GO:0033538]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]",1,1,1,1,0.0625565464650378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]",0.739158310829177,1,1,0.15317251124249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fatty acid beta-oxidation, unsaturated, odd number [GO:0033541]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fatty acid beta-oxidation, unsaturated, even number [GO:0033542]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway [GO:0033543]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fatty acid beta-oxidation, unsaturated, even number, epimerase pathway [GO:0033544]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"myo-inositol hexakisphosphate biosynthetic process, lipid-dependent [GO:0033545]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"myo-inositol hexakisphosphate biosynthetic process, via inositol 1,3,4-trisphosphate [GO:0033546]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"myo-inositol hexakisphosphate biosynthetic process, via direct phosphorylation of inositol 1,4,5-trisphosphate [GO:0033547]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"myo-inositol hexakisphosphate biosynthetic process, lipid-independent [GO:0033548]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to vitamin B3 [GO:0033552]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular response to stress [GO:0033554]",0.682398205552477,0.974371196027424,0.406072164657598,0.915737503475732,0.582706997719615,0.08736740463349,0.0086327253379326,0.129688350293154,0.640973177897747,0.788974735687403,0.574500597382537,0.713736490975956,0.500499595536475,1,0.472281572171234,1,0.0459039554057513,0.466742306520404,0.477912482484619,0.550698388135632
"multicellular organismal response to stress [GO:0033555]",0.978463728353723,1,0.10161055849277,0.632957003296606,0.276084408491011,0.138372151340066,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unsaturated fatty acid metabolic process [GO:0033559]",0.85824891562516,1,1,0.0933405889380115,1,0.341147523912354,0.287596402150356,1,1,1,1,1,1,1,1,1,0.230026740663335,1,1,1
"regulation of water loss via skin [GO:0033561]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cotranscriptional gene silencing by small RNA [GO:0033562]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"dorsal/ventral axon guidance [GO:0033563]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"anterior/posterior axon guidance [GO:0033564]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"gamma-tubulin complex localization [GO:0033566]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNA replication, Okazaki fragment processing [GO:0033567]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0184826160010338,1,1,1
"lactoferrin transport [GO:0033571]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"transferrin transport [GO:0033572]",0.467385498081233,1,1,0.865376119844812,0.476059338188394,1,1,1,1,1,1,1,1,1,1,0.0318647229703231,1,0.0406215415871701,1,1
"response to testosterone stimulus [GO:0033574]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein glycosylation at cell surface [GO:0033575]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein glycosylation in cytosol [GO:0033576]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein glycosylation in endoplasmic reticulum [GO:0033577]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein glycosylation in Golgi [GO:0033578]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein galactosylation in endoplasmic reticulum [GO:0033579]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein galactosylation at cell surface [GO:0033580]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein galactosylation in Golgi [GO:0033581]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein galactosylation in cytosol [GO:0033582]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tyrosine biosynthetic process from chorismate via L-arogenate [GO:0033584]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"L-phenylalanine biosynthetic process from chorismate via L-arogenate [GO:0033586]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"shikimate biosynthetic process [GO:0033587]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to cobalamin [GO:0033590]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to L-ascorbic acid [GO:0033591]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to hydroxyisoflavone [GO:0033594]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to genistein [GO:0033595]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mammary gland epithelial cell proliferation [GO:0033598]",0.55352165945179,1,1,0.451890216917685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of mammary gland epithelial cell proliferation [GO:0033599]",0.55352165945179,1,1,0.451890216917685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of mammary gland epithelial cell proliferation [GO:0033600]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of mammary gland epithelial cell proliferation [GO:0033601]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of dopamine secretion [GO:0033602]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of dopamine secretion [GO:0033603]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of catecholamine secretion [GO:0033604]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of catecholamine secretion [GO:0033605]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"chemokine receptor transport within lipid bilayer [GO:0033606]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"oxalate metabolic process [GO:0033609]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"oxalate biosynthetic process [GO:0033610]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"oxalate catabolic process [GO:0033611]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"chloroplast proton-transporting ATP synthase complex assembly [GO:0033614]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"plasma membrane proton-transporting ATP synthase complex assembly [GO:0033616]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial respiratory chain complex IV assembly [GO:0033617]",0.55352165945179,1,1,1,1,1,1,1,1,1,0.0476956188084984,1,1,1,1,1,1,1,1,1
"plasma membrane respiratory chain complex IV assembly [GO:0033618]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"membrane protein proteolysis [GO:0033619]",0.529166390123705,1,1,0.0918245657003084,1,1,1,1,1,1,1,1,1,1,0.396763385814075,1,1,0.0719633890841316,1,1
"nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts [GO:0033621]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"integrin activation [GO:0033622]",0.55352165945179,1,1,1,0.176195799515346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of integrin activation [GO:0033623]",0.784492357931956,1,1,1,0.121207351986098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of integrin activation [GO:0033624]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of integrin activation [GO:0033625]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of integrin activation by cell surface receptor linked signal transduction [GO:0033626]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell adhesion mediated by integrin [GO:0033627]",0.577807210933193,1,1,0.754237030752351,0.363883211334849,1,0.155894367144262,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cell adhesion mediated by integrin [GO:0033628]",0.720722857389101,1,1,0.699653253990898,0.321399352398195,1,0.135200020195108,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of cell adhesion mediated by integrin [GO:0033629]",0.784492357931956,1,1,1,0.121207351986098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of cell adhesion mediated by integrin [GO:0033630]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell-cell adhesion mediated by integrin [GO:0033631]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cell-cell adhesion mediated by integrin [GO:0033632]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of cell-cell adhesion mediated by integrin [GO:0033633]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to abiotic stimulus [GO:0033635]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to temperature stimulus [GO:0033636]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to cold [GO:0033637]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to heat [GO:0033638]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to water [GO:0033639]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to osmotic stress [GO:0033640]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to pH [GO:0033641]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host response to gravitational stimulus [GO:0033642]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modification by symbiont of host chloroplast [GO:0033656]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modification by symbiont of host chloroplast part [GO:0033657]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modification by symbiont of host chloroplast thylakoid [GO:0033658]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modification by symbiont of host mitochondrion [GO:0033659]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation by symbiont of host resistance gene-dependent defense response [GO:0033660]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation by symbiont of defense-related host reactive oxygen species production [GO:0033661]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host defense-related protein level [GO:0033662]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation by symbiont of host defense-related protein level [GO:0033663]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation by symbiont of host defense-related protein level [GO:0033664]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of growth or development of symbiont in host [GO:0033665]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of growth or development of symbiont in host [GO:0033666]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of growth or development of symbiont in host [GO:0033667]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation by symbiont of host apoptotic process [GO:0033668]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of NAD+ kinase activity [GO:0033670]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of NAD+ kinase activity [GO:0033671]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of NAD+ kinase activity [GO:0033672]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of kinase activity [GO:0033673]",0.685856348736693,1,0.24700117965121,0.180921081017775,0.782146882605937,1,0.664528458916305,1,1,0.545457503118277,0.164157274998774,1,0.603546815342828,1,1,1,0.569117045062847,0.170587847449039,1,1
"positive regulation of kinase activity [GO:0033674]",0.78863291423645,0.67184869335889,0.119856846378696,0.816040650352871,0.656880180590605,0.0694590499111579,0.171361329662219,1,1,0.164278674268709,0.867281966021606,0.330525137171698,0.457434093362481,1,0.666601271121733,1,0.192661176991483,1,1,1
"nucleotide-excision repair, DNA incision [GO:0033683]",0.784492357931956,1,1,1,1,0.0578219474532387,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of luteinizing hormone secretion [GO:0033684]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of luteinizing hormone secretion [GO:0033685]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of luteinizing hormone secretion [GO:0033686]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"osteoblast proliferation [GO:0033687]",0.92073749583056,1,1,0.299475749825144,1,0.163668261227004,1,1,1,1,0.0931337000747826,1,1,1,1,1,1,1,1,1
"regulation of osteoblast proliferation [GO:0033688]",0.95358417261966,1,1,0.15317251124249,1,0.112314394659303,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of osteoblast proliferation [GO:0033689]",1,1,1,0.0869166409789868,1,0.0854721630871257,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of osteoblast proliferation [GO:0033690]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular polysaccharide biosynthetic process [GO:0033692]",0.80025707643844,1,0.210081944302247,1,0.0275254714533713,0.279477845594834,1,1,1,1,1,1,1,1,1,1,1,0.0445946373124467,1,1
"neurofilament bundle assembly [GO:0033693]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of extent of heterochromatin assembly [GO:0033696]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of extent of heterochromatin assembly [GO:0033697]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"phospholipid efflux [GO:0033700]",0.784492357931956,1,1,1,1,1,1,1,1,1,1,1,0.0401750061717429,1,1,1,1,1,1,1
"ribosome localization [GO:0033750]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"establishment of ribosome localization [GO:0033753]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to glucagon stimulus [GO:0033762]",0.940664090245407,1,0.17545484146884,0.214345410726193,1,0.0269306155382076,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"furaldehyde metabolic process [GO:0033859]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of NAD(P)H oxidase activity [GO:0033860]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of NAD(P)H oxidase activity [GO:0033861]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of NAD(P)H oxidase activity [GO:0033864]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nucleoside bisphosphate metabolic process [GO:0033865]",0.92073749583056,1,1,0.699653253990898,1,0.163668261227004,1,1,1,1,1,0.0192375870095891,1,1,1,1,1,1,1,0.0123479080838208
"nucleoside bisphosphate biosynthetic process [GO:0033866]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nucleoside bisphosphate catabolic process [GO:0033869]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribonucleoside bisphosphate metabolic process [GO:0033875]",0.92073749583056,1,1,0.699653253990898,1,0.163668261227004,1,1,1,1,1,0.0192375870095891,1,1,1,1,1,1,1,0.0123479080838208
"mitochondrial DNA inheritance [GO:0033955]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cytoplasmic mRNA processing body assembly [GO:0033962]",0.711820673201711,1,1,0.441548957977366,0.403712516084388,1,1,1,1,1,1,1,1,1,0.201080573414446,1,1,1,1,1
"box C/D snoRNA metabolic process [GO:0033967]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"box H/ACA snoRNA metabolic process [GO:0033979]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to methanol [GO:0033986]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to lipid [GO:0033993]",0.736685527863052,0.421649336817139,0.488541504389575,0.544810005922646,0.205172273742745,0.189369928655854,0.846314771110303,1,1,0.386612620520826,1,0.221542900854906,0.79534885073202,1,0.885891428985342,1,0.418189149602384,0.274367219707767,1,1
"response to triglyceride [GO:0034014]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to silicon dioxide [GO:0034021]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribonucleoside bisphosphate biosynthetic process [GO:0034030]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribonucleoside bisphosphate catabolic process [GO:0034031]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"purine nucleoside bisphosphate metabolic process [GO:0034032]",0.92073749583056,1,1,0.699653253990898,1,0.163668261227004,1,1,1,1,1,0.0192375870095891,1,1,1,1,1,1,1,0.0123479080838208
"purine nucleoside bisphosphate biosynthetic process [GO:0034033]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"purine nucleoside bisphosphate catabolic process [GO:0034034]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"purine ribonucleoside bisphosphate metabolic process [GO:0034035]",0.978463728353723,1,1,0.632957003296606,1,0.138372151340066,1,1,1,1,1,0.0160561856439785,1,1,1,1,1,1,1,0.010299899598769
"purine ribonucleoside bisphosphate biosynthetic process [GO:0034036]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"purine ribonucleoside bisphosphate catabolic process [GO:0034037]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of protein phosphatase type 2A activity [GO:0034047]",0.784492357931956,1,1,0.330232358271452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of protein phosphatase type 2A activity [GO:0034048]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of protein phosphatase type 2A activity [GO:0034049]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"host programmed cell death induced by symbiont [GO:0034050]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of plant-type hypersensitive response [GO:0034051]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of plant-type hypersensitive response [GO:0034052]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host defense-related programmed cell death [GO:0034053]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation by symbiont of host defense-related programmed cell death [GO:0034054]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation by symbiont of host defense-related programmed cell death [GO:0034055]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"endosomal vesicle fusion [GO:0034058]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"response to anoxia [GO:0034059]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stress granule assembly [GO:0034063]",0.412870847706564,1,0.120665895844967,1,0.321399352398195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"replication fork processing at rDNA locus [GO:0034065]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein localization to Golgi apparatus [GO:0034067]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"butanediol metabolic process [GO:0034077]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"butanediol catabolic process [GO:0034078]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"butanediol biosynthetic process [GO:0034079]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CENP-A containing nucleosome assembly at centromere [GO:0034080]",0.196393471259744,1,1,0.798906755434492,1,1,1,1,1,1,0.122224134646116,1,1,1,1,1,1,1,1,1
"establishment of sister chromatid cohesion [GO:0034085]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maintenance of sister chromatid cohesion [GO:0034086]",0.153712731088462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"establishment of mitotic sister chromatid cohesion [GO:0034087]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maintenance of mitotic sister chromatid cohesion [GO:0034088]",0.153712731088462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"establishment of meiotic sister chromatid cohesion [GO:0034089]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maintenance of meiotic sister chromatid cohesion [GO:0034090]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of maintenance of sister chromatid cohesion [GO:0034091]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
