"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"detection of electrical stimulus involved in sensory perception of pain [GO:0050967]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of chemical stimulus involved in sensory perception of pain [GO:0050968]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of chemical stimulus involved in magnetoreception [GO:0050969]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of electrical stimulus involved in magnetoreception [GO:0050970]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of mechanical stimulus involved in magnetoreception [GO:0050971]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of mechanical stimulus involved in echolocation [GO:0050972]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of mechanical stimulus involved in equilibrioception [GO:0050973]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of mechanical stimulus involved in sensory perception [GO:0050974]",1,1,1,1,1,1,1,1,1,1,1,1
"sensory perception of touch [GO:0050975]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of mechanical stimulus involved in sensory perception of touch [GO:0050976]",1,1,1,1,1,1,1,1,1,1,1,1
"magnetoreception by sensory perception of chemical stimulus [GO:0050977]",1,1,1,1,1,1,1,1,1,1,1,1
"magnetoreception by sensory perception of electrical stimulus [GO:0050978]",1,1,1,1,1,1,1,1,1,1,1,1
"magnetoreception by sensory perception of mechanical stimulus [GO:0050979]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of light stimulus involved in magnetoreception [GO:0050980]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of electrical stimulus [GO:0050981]",1,1,1,1,1,1,1,1,1,1,1,1
"detection of mechanical stimulus [GO:0050982]",1,1,1,1,1,1,1,1,1,1,1,1
"deoxyhypusine biosynthetic process from spermidine [GO:0050983]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidyl-serine sulfation [GO:0050984]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidyl-threonine sulfation [GO:0050985]",1,1,1,1,1,1,1,1,1,1,1,1
"isopeptide cross-linking via N-(L-isoglutamyl)-glycine [GO:0050986]",1,1,1,1,1,1,1,1,1,1,1,1
"enzyme active site formation via O-sulfo-L-serine [GO:0050987]",1,1,1,1,1,1,1,1,1,1,1,1
"N-terminal peptidyl-methionine carboxylation [GO:0050988]",1,1,1,1,1,1,1,1,1,1,1,1
"N-terminal protein amino acid carboxylation [GO:0050989]",1,1,1,1,1,1,1,1,1,1,1,1
"N-terminal protein amino acid carbamoylation [GO:0050990]",1,1,1,1,1,1,1,1,1,1,1,1
"enzyme active site formation via O-sulfo-L-threonine [GO:0050991]",1,1,1,1,1,1,1,1,1,1,1,1
"dimethylallyl diphosphate biosynthetic process [GO:0050992]",1,1,1,1,1,1,1,1,1,1,1,1
"dimethylallyl diphosphate metabolic process [GO:0050993]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of lipid catabolic process [GO:0050994]",1,0.0246406570841889,1,1,1,1,1,1,1,1,1,1
"negative regulation of lipid catabolic process [GO:0050995]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of lipid catabolic process [GO:0050996]",1,0.0246406570841889,1,1,1,1,1,1,1,1,1,1
"regulation of nitric-oxide synthase activity [GO:0050999]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of nitric-oxide synthase activity [GO:0051000]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of nitric-oxide synthase activity [GO:0051001]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of lipoprotein lipase activity [GO:0051004]",0.407432757877658,1,0.480949121606206,1,1,1,1,1,1,1,1,1
"negative regulation of lipoprotein lipase activity [GO:0051005]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of lipoprotein lipase activity [GO:0051006]",1,1,1,1,1,1,1,1,1,1,1,1
"microtubule sliding [GO:0051012]",1,1,1,1,1,1,1,1,1,1,1,1
"microtubule severing [GO:0051013]",1,1,1,1,1,1,1,1,1,1,1,1
"actin filament severing [GO:0051014]",1,1,1,1,1,1,1,1,1,1,1,1
"barbed-end actin filament capping [GO:0051016]",1,1,1,1,1,1,1,1,1,1,1,1
"actin filament bundle assembly [GO:0051017]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"regulation of immunoglobulin secretion [GO:0051023]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of immunoglobulin secretion [GO:0051024]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of immunoglobulin secretion [GO:0051025]",1,1,1,1,1,1,1,1,1,1,1,1
"chiasma assembly [GO:0051026]",1,1,1,1,1,1,1,1,1,1,1,1
"DNA transport [GO:0051027]",1,1,1,1,1,1,1,1,1,1,1,1
"mRNA transport [GO:0051028]",1,1,1,1,1,1,1,1,1,1,1,1
"rRNA transport [GO:0051029]",1,1,1,1,1,1,1,1,1,1,1,1
"snRNA transport [GO:0051030]",1,1,1,1,1,1,1,1,1,1,1,1
"tRNA transport [GO:0051031]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of endosome size [GO:0051036]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription during meiosis [GO:0051037]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription during meiosis [GO:0051038]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transcription during meiosis [GO:0051039]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of calcium-independent cell-cell adhesion [GO:0051040]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of calcium-independent cell-cell adhesion [GO:0051041]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of calcium-independent cell-cell adhesion [GO:0051042]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of membrane protein ectodomain proteolysis [GO:0051043]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of membrane protein ectodomain proteolysis [GO:0051044]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of membrane protein ectodomain proteolysis [GO:0051045]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of secretion [GO:0051046]",0.544273028223436,1,0.626497409155806,0.514398361471048,1,1,1,1,1,1,1,1
"positive regulation of secretion [GO:0051047]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of secretion [GO:0051048]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"regulation of transport [GO:0051049]",0.482315809804999,1,0.0549295276167208,0.71938895422098,1,1,1,1,1,1,1,1
"positive regulation of transport [GO:0051050]",0.324842865743884,1,0.135638966016693,1,1,1,1,1,1,1,1,1
"negative regulation of transport [GO:0051051]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"regulation of DNA metabolic process [GO:0051052]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of DNA metabolic process [GO:0051053]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of DNA metabolic process [GO:0051054]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of lipid biosynthetic process [GO:0051055]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of small GTPase mediated signal transduction [GO:0051056]",0.407432757877658,1,1,0.381845683237424,1,1,1,1,1,1,1,1
"positive regulation of small GTPase mediated signal transduction [GO:0051057]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of small GTPase mediated signal transduction [GO:0051058]",1,1,1,1,1,1,1,1,1,1,1,1
"dihydrobiopterin metabolic process [GO:0051066]",1,1,1,1,1,1,1,1,1,1,1,1
"dihydropteridine metabolic process [GO:0051067]",1,1,1,1,1,1,1,1,1,1,1,1
"dihydrolipoamide metabolic process [GO:0051068]",1,1,1,1,1,1,1,1,1,1,1,1
"galactomannan metabolic process [GO:0051069]",1,1,1,1,1,1,1,1,1,1,1,1
"galactomannan biosynthetic process [GO:0051070]",1,1,1,1,1,1,1,1,1,1,1,1
"4,6-pyruvylated galactose residue metabolic process [GO:0051071]",1,1,1,1,1,1,1,1,1,1,1,1
"4,6-pyruvylated galactose residue biosynthetic process [GO:0051072]",1,1,1,1,1,1,1,1,1,1,1,1
"meiotic nuclear envelope disassembly [GO:0051078]",1,1,1,1,1,1,1,1,1,1,1,1
"meiosis I nuclear envelope disassembly [GO:0051079]",1,1,1,1,1,1,1,1,1,1,1,1
"meiosis II nuclear envelope disassembly [GO:0051080]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear envelope disassembly [GO:0051081]",1,1,1,1,1,1,1,1,1,1,1,1
"'de novo' cotranslational protein folding [GO:0051083]",1,1,1,1,1,1,1,1,1,1,1,1
"'de novo' posttranslational protein folding [GO:0051084]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"chaperone mediated protein folding requiring cofactor [GO:0051085]",1,1,1,1,1,1,1,1,1,1,1,1
"chaperone mediated protein folding independent of cofactor [GO:0051086]",1,1,1,1,1,1,1,1,1,1,1,1
"PMA-inducible membrane protein ectodomain proteolysis [GO:0051088]",1,1,1,1,1,1,1,1,1,1,1,1
"constitutive protein ectodomain proteolysis [GO:0051089]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of sequence-specific DNA binding transcription factor activity [GO:0051090]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of NF-kappaB transcription factor activity [GO:0051092]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of developmental process [GO:0051093]",1,1,0.534875801288789,0.765385300263881,1,1,1,1,1,0.0217920081101968,0.10640687111451,1
"positive regulation of developmental process [GO:0051094]",1,1,0.00747003319616129,0.765385300263881,1,1,1,1,1,1,1,1
"regulation of helicase activity [GO:0051095]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of helicase activity [GO:0051096]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of helicase activity [GO:0051097]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of binding [GO:0051098]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of binding [GO:0051099]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of binding [GO:0051100]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of DNA binding [GO:0051101]",1,1,1,1,1,1,1,1,1,1,1,1
"DNA ligation involved in DNA recombination [GO:0051102]",1,1,1,1,1,1,1,1,1,1,1,1
"DNA ligation involved in DNA repair [GO:0051103]",1,1,1,1,1,1,1,1,1,1,1,1
"DNA ligation involved in DNA-dependent DNA replication [GO:0051104]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of DNA ligation [GO:0051105]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of DNA ligation [GO:0051106]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of DNA ligation [GO:0051107]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidyl-histidine uridylylation, to form peptidyl-1'-(phospho-5'-uridine)-L-histidine [GO:0051110]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidyl-histidine adenylylation [GO:0051111]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidyl-histidine adenylylation, to form peptidyl-1'-(phospho-5'-adenosine)-L-histidine [GO:0051112]",1,1,1,1,1,1,1,1,1,1,1,1
"enzyme active site formation via 1'-(phospho-5'-adenosine)-L-histidine [GO:0051113]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidyl-histidine uridylylation [GO:0051114]",1,1,1,1,1,1,1,1,1,1,1,1
"enzyme active site formation via 1'-(phospho-5'-uridine)-L-histidine [GO:0051115]",1,1,1,1,1,1,1,1,1,1,1,1
"hepoxilin metabolic process [GO:0051121]",1,1,1,1,1,1,1,1,1,1,1,1
"hepoxilin biosynthetic process [GO:0051122]",1,1,1,1,1,1,1,1,1,1,1,1
"RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]",1,1,1,1,1,1,1,1,1,1,1,1
"synaptic growth at neuromuscular junction [GO:0051124]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of actin nucleation [GO:0051125]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of actin nucleation [GO:0051126]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of actin nucleation [GO:0051127]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cellular component organization [GO:0051128]",0.958301128418448,1,0.000823926007886823,0.946078247275813,1,1,1,1,1,0.398974213592327,1,1
"negative regulation of cellular component organization [GO:0051129]",1,1,0.189852546507006,1,1,1,1,1,1,0.118446282745555,1,1
"positive regulation of cellular component organization [GO:0051130]",0.793469700140978,1,0.0540875392995269,0.765385300263881,1,1,1,1,1,1,1,1
"chaperone-mediated protein complex assembly [GO:0051131]",1,1,1,1,1,1,1,1,1,1,1,1
"NK T cell activation [GO:0051132]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of NK T cell activation [GO:0051133]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of NK T cell activation [GO:0051134]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of NK T cell activation [GO:0051135]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of NK T cell differentiation [GO:0051136]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of NK T cell differentiation [GO:0051137]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of NK T cell differentiation [GO:0051138]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of NK T cell proliferation [GO:0051140]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of NK T cell proliferation [GO:0051141]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of NK T cell proliferation [GO:0051142]",1,1,1,1,1,1,1,1,1,1,1,1
"propanediol metabolic process [GO:0051143]",1,1,1,1,1,1,1,1,1,1,1,1
"propanediol catabolic process [GO:0051144]",1,1,1,1,1,1,1,1,1,1,1,1
"smooth muscle cell differentiation [GO:0051145]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"striated muscle cell differentiation [GO:0051146]",0.407432757877658,1,1,1,1,1,1,1,1,1,0.0366567799832688,1
"regulation of muscle cell differentiation [GO:0051147]",1,1,1,0.381845683237424,1,1,1,1,1,1,0.0366567799832688,1
"negative regulation of muscle cell differentiation [GO:0051148]",1,1,1,1,1,1,1,1,1,1,0.0184804928131417,1
"positive regulation of muscle cell differentiation [GO:0051149]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"regulation of smooth muscle cell differentiation [GO:0051150]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of smooth muscle cell differentiation [GO:0051151]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of smooth muscle cell differentiation [GO:0051152]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of striated muscle cell differentiation [GO:0051153]",1,1,1,1,1,1,1,1,1,1,0.0184804928131417,1
"negative regulation of striated muscle cell differentiation [GO:0051154]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of striated muscle cell differentiation [GO:0051155]",1,1,1,1,1,1,1,1,1,1,1,1
"glucose 6-phosphate metabolic process [GO:0051156]",1,1,1,1,1,1,1,1,1,1,1,1
"arabitol catabolic process [GO:0051157]",1,1,1,1,1,1,1,1,1,1,1,1
"L-arabitol catabolic process [GO:0051158]",1,1,1,1,1,1,1,1,1,1,1,1
"D-arabitol catabolic process [GO:0051159]",1,1,1,1,1,1,1,1,1,1,1,1
"L-xylitol catabolic process [GO:0051160]",1,1,1,1,1,1,1,1,1,1,1,1
"arabitol metabolic process [GO:0051161]",1,1,1,1,1,1,1,1,1,1,1,1
"L-arabitol metabolic process [GO:0051162]",1,1,1,1,1,1,1,1,1,1,1,1
"D-arabitol metabolic process [GO:0051163]",1,1,1,1,1,1,1,1,1,1,1,1
"L-xylitol metabolic process [GO:0051164]",1,1,1,1,1,1,1,1,1,1,1,1
"2,5-dihydroxypyridine metabolic process [GO:0051165]",1,1,1,1,1,1,1,1,1,1,1,1
"2,5-dihydroxypyridine catabolic process [GO:0051166]",1,1,1,1,1,1,1,1,1,1,1,1
"xylulose 5-phosphate metabolic process [GO:0051167]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear export [GO:0051168]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear transport [GO:0051169]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"nuclear import [GO:0051170]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"regulation of nitrogen compound metabolic process [GO:0051171]",0.0581710645374539,1,0.184741555311783,0.973037178349875,1,1,0.907296237024281,0.273313599370197,0.318543043392799,0.726910194483401,0.438497106150628,1
"negative regulation of nitrogen compound metabolic process [GO:0051172]",0.65131053079045,1,0.0735035838658486,0.887229928715395,1,1,1,1,1,1,0.155735054872817,1
"positive regulation of nitrogen compound metabolic process [GO:0051173]",0.0862429706237341,1,0.928808174461828,0.855955028945797,1,1,1,0.0797985994289788,0.0950716517206139,1,1,1
"regulation of phosphorus metabolic process [GO:0051174]",0.288822211984405,1,0.085092918956137,0.946078247275813,1,1,1,0.117740108192299,1,1,1,1
"negative regulation of sulfur metabolic process [GO:0051175]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of sulfur metabolic process [GO:0051176]",1,1,1,0.213552361396304,1,1,1,1,1,1,1,1
"meiotic sister chromatid cohesion [GO:0051177]",1,1,1,1,1,1,1,1,1,1,1,1
"meiotic chromosome decondensation [GO:0051178]",1,1,1,1,1,1,1,1,1,1,1,1
"localization [GO:0051179]",0.00165627466665081,0.627141494096408,0.139004379030674,0.99462368759504,1,1,0.952167520636835,1,0.387419429138662,1,0.521693837784207,1
"vitamin transport [GO:0051180]",1,1,1,1,1,1,1,1,1,1,1,1
"cofactor transport [GO:0051181]",1,1,1,1,1,1,1,1,1,1,1,1
"coenzyme transport [GO:0051182]",1,1,1,1,1,1,1,1,1,1,1,1
"cofactor metabolic process [GO:0051186]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"cofactor catabolic process [GO:0051187]",1,1,1,1,1,1,1,1,1,1,1,1
"cofactor biosynthetic process [GO:0051188]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"prosthetic group metabolic process [GO:0051189]",1,1,1,1,1,1,1,1,1,1,1,1
"prosthetic group catabolic process [GO:0051190]",1,1,1,1,1,1,1,1,1,1,1,1
"prosthetic group biosynthetic process [GO:0051191]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cofactor metabolic process [GO:0051193]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of cofactor metabolic process [GO:0051194]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of cofactor metabolic process [GO:0051195]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of coenzyme metabolic process [GO:0051196]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of coenzyme metabolic process [GO:0051197]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of coenzyme metabolic process [GO:0051198]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of prosthetic group metabolic process [GO:0051199]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of prosthetic group metabolic process [GO:0051200]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of prosthetic group metabolic process [GO:0051201]",1,1,1,1,1,1,1,1,1,1,1,1
"phytochromobilin metabolic process [GO:0051202]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidyl-aspartic acid reduction to form L-aspartyl aldehyde [GO:0051203]",1,1,1,1,1,1,1,1,1,1,1,1
"protein insertion into mitochondrial membrane [GO:0051204]",1,1,1,1,1,1,1,1,1,1,1,1
"protein insertion into membrane [GO:0051205]",1,1,1,1,1,1,1,1,1,1,1,1
"silicate metabolic process [GO:0051206]",1,1,1,1,1,1,1,1,1,1,1,1
"silicic acid transport [GO:0051207]",1,1,1,1,1,1,1,1,1,1,1,1
"sequestering of calcium ion [GO:0051208]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"release of sequestered calcium ion into cytosol [GO:0051209]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"isotropic cell growth [GO:0051210]",1,1,1,1,1,1,1,1,1,1,1,1
"anisotropic cell growth [GO:0051211]",1,1,1,1,1,1,1,1,1,1,1,1
"RNA virus induced gene silencing [GO:0051214]",1,1,1,1,1,1,1,1,1,1,1,1
"DNA virus induced gene silencing [GO:0051215]",1,1,1,1,1,1,1,1,1,1,1,1
"cartilage development [GO:0051216]",0.407432757877658,1,1,0.381845683237424,1,1,1,1,1,1,1,1
"molybdenum incorporation via L-aspartyl molybdenum bis(molybdopterin guanine dinucleotide) [GO:0051217]",1,1,1,1,1,1,1,1,1,1,1,1
"tungsten incorporation via L-selenocysteinyl tungsten bis(molybdopterin guanine dinucleotide) [GO:0051218]",1,1,1,1,1,1,1,1,1,1,1,1
"cytoplasmic sequestering of protein [GO:0051220]",1,1,1,1,1,1,1,1,1,1,1,1
"tungsten incorporation into metallo-sulfur cluster [GO:0051221]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of protein transport [GO:0051222]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"regulation of protein transport [GO:0051223]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of protein transport [GO:0051224]",1,1,1,1,1,1,1,1,1,1,1,1
"spindle assembly [GO:0051225]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic spindle disassembly [GO:0051228]",1,1,1,1,1,1,1,1,1,1,1,1
"meiotic spindle disassembly [GO:0051229]",1,1,1,1,1,1,1,1,1,1,1,1
"spindle disassembly [GO:0051230]",1,1,1,1,1,1,1,1,1,1,1,1
"spindle elongation [GO:0051231]",1,1,1,1,1,1,1,1,1,1,1,1
"meiotic spindle elongation [GO:0051232]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of localization [GO:0051234]",0.00181767828812301,1,0.269193600343502,0.967335845369564,1,1,1,1,0.309497154588278,1,0.427242037008881,1
"maintenance of location [GO:0051235]",1,0.117740108192299,0.135638966016693,0.700835224146007,1,1,1,1,1,1,1,1
"establishment of RNA localization [GO:0051236]",1,1,1,1,1,1,1,1,1,1,1,1
"maintenance of RNA location [GO:0051237]",1,1,1,1,1,1,1,1,1,1,1,1
"sequestering of metal ion [GO:0051238]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"regulation of multicellular organismal process [GO:0051239]",0.710670237646164,1,0.114712071451122,0.911765676442589,1,1,1,1,1,0.345156690969735,0.171631256768517,1
"positive regulation of multicellular organismal process [GO:0051240]",1,1,0.480949121606206,0.381845683237424,1,1,1,1,1,1,1,1
"negative regulation of multicellular organismal process [GO:0051241]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of cellular defense response [GO:0051245]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of protein metabolic process [GO:0051246]",0.297028200080933,1,0.0477672748441826,0.980004202574756,1,1,0.713169093020916,0.154419654145671,1,1,1,1
"positive regulation of protein metabolic process [GO:0051247]",0.482315809804999,1,0.16453085797979,0.93100334866475,1,1,0.574255784401747,0.10837429193107,1,1,1,1
"negative regulation of protein metabolic process [GO:0051248]",0.582774444130953,1,0.156406180943967,0.855955028945797,1,1,0.461524485203099,1,1,1,1,1
"regulation of lymphocyte activation [GO:0051249]",0.0824871639007956,1,0.807065521704988,0.700835224146007,1,1,1,1,1,1,1,1
"negative regulation of lymphocyte activation [GO:0051250]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of lymphocyte activation [GO:0051251]",0.0396038493655576,1,0.731448550384753,1,1,1,1,1,1,1,1,1
"regulation of RNA metabolic process [GO:0051252]",0.0633555318876066,1,0.311506612588615,0.950689150640484,1,1,1,0.189868982661709,1,0.575089120648634,0.316560913282824,1
"negative regulation of RNA metabolic process [GO:0051253]",0.65131053079045,1,0.0735035838658486,0.887229928715395,1,1,1,1,1,1,0.155735054872817,1
"positive regulation of RNA metabolic process [GO:0051254]",0.1377965564376,1,0.861503465788228,0.765385300263881,1,1,1,0.0603445406287603,1,1,1,1
"spindle midzone assembly [GO:0051255]",1,1,1,1,1,1,1,1,1,1,1,1
"spindle midzone assembly involved in mitosis [GO:0051256]",1,1,1,1,1,1,1,1,1,1,1,1
"spindle midzone assembly involved in meiosis [GO:0051257]",1,1,1,1,1,1,1,1,1,1,1,1
"protein polymerization [GO:0051258]",0.407432757877658,1,0.480949121606206,1,1,1,1,1,1,1,1,1
"protein oligomerization [GO:0051259]",1,1,1,1,1,1,1,1,0.0123203285420944,1,1,1
"protein homooligomerization [GO:0051260]",1,1,1,1,1,1,1,1,0.0123203285420944,1,1,1
"protein depolymerization [GO:0051261]",1,1,1,1,1,1,1,1,1,1,1,1
"protein tetramerization [GO:0051262]",1,1,1,1,1,1,1,1,1,1,1,1
"microcin E492 biosynthetic process by siderophore ester modification of peptidyl-serine [GO:0051263]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cellular component movement [GO:0051270]",0.0824871639007956,1,0.428980665103812,1,1,1,1,1,1,1,1,1
"negative regulation of cellular component movement [GO:0051271]",0.407432757877658,1,0.480949121606206,1,1,1,1,1,1,1,1,1
"positive regulation of cellular component movement [GO:0051272]",0.0119131529477501,1,1,1,1,1,1,1,1,1,1,1
"beta-glucan metabolic process [GO:0051273]",1,1,1,1,1,1,1,1,1,1,1,1
"beta-glucan biosynthetic process [GO:0051274]",1,1,1,1,1,1,1,1,1,1,1,1
"beta-glucan catabolic process [GO:0051275]",1,1,1,1,1,1,1,1,1,1,1,1
"chromosome organization [GO:0051276]",0.0522452299357654,1,0.626548846418569,0.816112802909528,1,1,1,1,1,1,1,1
"fungal-type cell wall polysaccharide biosynthetic process [GO:0051278]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of release of sequestered calcium ion into cytosol [GO:0051279]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"negative regulation of release of sequestered calcium ion into cytosol [GO:0051280]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"regulation of sequestering of calcium ion [GO:0051282]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"negative regulation of sequestering of calcium ion [GO:0051283]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"positive regulation of sequestering of calcium ion [GO:0051284]",1,1,1,1,1,1,1,1,1,1,1,1
"protein homotetramerization [GO:0051289]",1,1,1,1,1,1,1,1,1,1,1,1
"protein heterotetramerization [GO:0051290]",1,1,1,1,1,1,1,1,1,1,1,1
"protein heterooligomerization [GO:0051291]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear pore complex assembly [GO:0051292]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of spindle localization [GO:0051293]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of spindle orientation [GO:0051294]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of meiotic spindle localization [GO:0051295]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of meiotic spindle orientation [GO:0051296]",1,1,1,1,1,1,1,1,1,1,1,1
"centrosome organization [GO:0051297]",1,1,0.480949121606206,0.381845683237424,1,1,1,1,1,1,1,1
"centrosome duplication [GO:0051298]",1,1,1,1,1,1,1,1,1,1,1,1
"centrosome separation [GO:0051299]",1,1,1,1,1,1,1,1,1,1,1,1
"spindle pole body organization [GO:0051300]",1,1,1,1,1,1,1,1,1,1,1,1
"cell division [GO:0051301]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cell division [GO:0051302]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of chromosome localization [GO:0051303]",1,1,1,1,1,1,1,1,1,1,1,1
"chromosome separation [GO:0051304]",1,1,1,1,1,1,1,1,1,1,1,1
