"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"regulation of organ growth [GO:0046620]",0.982012917658014,1,1,0.321384280283455,0.075512369285276,1,1,1,1,1
"negative regulation of organ growth [GO:0046621]",1,1,1,0.228253845159623,1,1,1,1,1,1
"positive regulation of organ growth [GO:0046622]",1,1,1,0.404430643175149,0.182619469506778,1,1,1,1,1
"regulation of insulin receptor signaling pathway [GO:0046626]",0.93232278847736,0.230194594745972,1,0.413825104642368,1,1,1,1,0.0441581052659178,1
"negative regulation of insulin receptor signaling pathway [GO:0046627]",0.982012917658014,0.195874710426353,1,0.321384280283455,1,1,1,1,0.0369338636846593,1
"positive regulation of insulin receptor signaling pathway [GO:0046628]",1,1,1,1,1,1,1,1,1,1
"gamma-delta T cell activation [GO:0046629]",0.30483986281689,1,1,1,1,1,1,1,1,1
"gamma-delta T cell proliferation [GO:0046630]",1,1,1,1,1,1,1,1,1,1
"alpha-beta T cell activation [GO:0046631]",0.925700729825811,1,1,0.104534256492316,0.429013814649353,1,0.223093876767175,1,1,1
"alpha-beta T cell differentiation [GO:0046632]",0.830122661695896,1,1,0.475776490459958,0.285176601534562,1,0.168954919897913,1,1,1
"alpha-beta T cell proliferation [GO:0046633]",1,1,1,0.0520770471440969,1,1,1,1,1,1
"regulation of alpha-beta T cell activation [GO:0046634]",0.982466817568682,1,1,0.0858071143723147,0.174725937442014,1,1,1,1,1
"positive regulation of alpha-beta T cell activation [GO:0046635]",0.965264432517806,1,1,0.0521328919877589,0.506393647201081,1,1,1,1,1
"negative regulation of alpha-beta T cell activation [GO:0046636]",1,1,1,0.228253845159623,1,1,1,1,1,1
"regulation of alpha-beta T cell differentiation [GO:0046637]",0.93232278847736,1,1,0.413825104642368,0.10622924305669,1,1,1,1,1
"positive regulation of alpha-beta T cell differentiation [GO:0046638]",0.761443147362903,1,1,0.645351398218014,0.331925722052428,1,1,1,1,1
"negative regulation of alpha-beta T cell differentiation [GO:0046639]",1,1,1,1,1,1,1,1,1,1
"regulation of alpha-beta T cell proliferation [GO:0046640]",1,1,1,0.228253845159623,1,1,1,1,1,1
"positive regulation of alpha-beta T cell proliferation [GO:0046641]",1,1,1,0.228253845159623,1,1,1,1,1,1
"negative regulation of alpha-beta T cell proliferation [GO:0046642]",1,1,1,0.228253845159623,1,1,1,1,1,1
"regulation of gamma-delta T cell activation [GO:0046643]",1,1,1,1,1,1,1,1,1,1
"negative regulation of gamma-delta T cell activation [GO:0046644]",1,1,1,1,1,1,1,1,1,1
"positive regulation of gamma-delta T cell activation [GO:0046645]",1,1,1,1,1,1,1,1,1,1
"regulation of gamma-delta T cell proliferation [GO:0046646]",1,1,1,1,1,1,1,1,1,1
"negative regulation of gamma-delta T cell proliferation [GO:0046647]",1,1,1,1,1,1,1,1,1,1
"positive regulation of gamma-delta T cell proliferation [GO:0046648]",1,1,1,1,1,1,1,1,1,1
"lymphocyte activation [GO:0046649]",0.758758977010298,0.482969264423673,0.738534682635762,0.309542751207764,0.709728391677819,0.624401967932312,0.535984396826715,0.197176652745021,0.555466130755567,1
"lymphocyte proliferation [GO:0046651]",0.989716331975495,0.305116323381621,1,0.0532255348519036,0.4610460044445,1,1,0.431545117480076,0.177954712286368,1
"tetrahydrofolate metabolic process [GO:0046653]",0.552151996898022,1,1,1,1,1,1,1,1,1
"tetrahydrofolate biosynthetic process [GO:0046654]",1,1,1,1,1,1,1,1,1,1
"folic acid metabolic process [GO:0046655]",0.799464130979156,1,1,1,1,1,1,1,0.0149376563736566,1
"folic acid biosynthetic process [GO:0046656]",1,1,1,1,1,1,1,1,1,1
"folic acid catabolic process [GO:0046657]",1,1,1,1,1,1,1,1,1,1
"female sex differentiation [GO:0046660]",0.612892269734972,1,0.158239724162797,0.837080729032479,0.506393647201081,1,1,1,1,1
"male sex differentiation [GO:0046661]",0.638736863540534,0.381087074030399,1,0.75419119810213,0.285176601534562,1,1,1,1,1
"regulation of oviposition [GO:0046662]",1,1,1,1,1,1,1,1,1,1
"dorsal closure, leading edge cell differentiation [GO:0046663]",1,1,1,1,1,1,1,1,1,1
"dorsal closure, amnioserosa morphology change [GO:0046664]",1,1,1,1,1,1,1,1,1,1
"amnioserosa maintenance [GO:0046665]",1,1,1,1,1,1,1,1,1,1
"retinal cell programmed cell death [GO:0046666]",1,1,1,1,1,1,1,1,1,1
"compound eye retinal cell programmed cell death [GO:0046667]",1,1,1,1,1,1,1,1,1,1
"regulation of retinal cell programmed cell death [GO:0046668]",1,1,1,1,1,1,1,1,1,1
"regulation of compound eye retinal cell programmed cell death [GO:0046669]",1,1,1,1,1,1,1,1,1,1
"positive regulation of retinal cell programmed cell death [GO:0046670]",1,1,1,1,1,1,1,1,1,1
"negative regulation of retinal cell programmed cell death [GO:0046671]",1,1,1,1,1,1,1,1,1,1
"positive regulation of compound eye retinal cell programmed cell death [GO:0046672]",1,1,1,1,1,1,1,1,1,1
"negative regulation of compound eye retinal cell programmed cell death [GO:0046673]",1,1,1,1,1,1,1,1,1,1
"negative regulation of insulin secretion [GO:0046676]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"response to antibiotic [GO:0046677]",0.799464130979156,1,1,1,0.182619469506778,1,1,1,1,1
"response to bacteriocin [GO:0046678]",1,1,1,1,1,1,1,1,1,1
"response to streptomycin [GO:0046679]",1,1,1,1,1,1,1,1,1,1
"response to DDT [GO:0046680]",1,1,1,1,1,1,1,1,1,1
"response to carbamate [GO:0046681]",1,1,1,1,1,1,1,1,1,1
"response to cyclodiene [GO:0046682]",1,1,1,1,1,1,1,1,1,1
"response to organophosphorus [GO:0046683]",0.951672122321701,1,0.198689018731618,0.33854394820714,0.596613296472363,1,1,1,0.0655127884583092,1
"response to pyrethroid [GO:0046684]",1,1,1,1,1,1,1,1,1,1
"response to arsenic-containing substance [GO:0046685]",0.597102828307763,1,1,0.321384280283455,1,1,1,1,1,1
"response to cadmium ion [GO:0046686]",0.577954310046501,0.122591698222137,1,1,1,1,1,1,1,1
"response to chromate [GO:0046687]",1,1,1,1,1,1,1,1,1,1
"response to copper ion [GO:0046688]",0.799464130979156,1,1,1,0.182619469506778,1,1,1,1,1
"response to mercury ion [GO:0046689]",0.799464130979156,1,1,1,0.182619469506778,1,1,1,1,1
"response to tellurium ion [GO:0046690]",1,1,1,1,1,1,1,1,1,1
"sperm competition [GO:0046692]",1,1,1,1,1,1,1,1,1,1
"sperm storage [GO:0046693]",1,1,1,1,1,1,1,1,1,1
"sperm incapacitation [GO:0046694]",1,1,1,1,1,1,1,1,1,1
"decidualization [GO:0046697]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"heterocycle catabolic process [GO:0046700]",0.972108807008994,0.566174928275095,0.304974454650493,0.238911897923032,0.174185119200323,0.691647450533594,0.444502400730009,0.331327152942429,0.132533306327271,1
"insecticide catabolic process [GO:0046701]",1,1,1,1,1,1,1,1,1,1
"CDP metabolic process [GO:0046704]",1,1,1,1,1,1,1,1,1,1
"CDP biosynthetic process [GO:0046705]",1,1,1,1,1,1,1,1,1,1
"CDP catabolic process [GO:0046706]",1,1,1,1,1,1,1,1,1,1
"IDP metabolic process [GO:0046707]",1,1,1,1,1,1,1,1,1,1
"IDP biosynthetic process [GO:0046708]",1,1,1,1,1,1,1,1,1,1
"IDP catabolic process [GO:0046709]",1,1,1,1,1,1,1,1,1,1
"GDP metabolic process [GO:0046710]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"GDP biosynthetic process [GO:0046711]",1,1,1,1,1,1,1,1,1,1
"GDP catabolic process [GO:0046712]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"borate transport [GO:0046713]",0.552151996898022,1,1,1,1,1,1,1,1,1
"muscle cell homeostasis [GO:0046716]",0.761443147362903,0.160029600935699,1,0.645351398218014,1,1,1,1,1,1
"acid secretion [GO:0046717]",0.394465472730098,1,0.0937272452327707,1,1,1,1,1,1,1
"viral entry into host cell [GO:0046718]",0.91365727736518,1,0.178712031000753,1,0.0340673179362374,1,1,0.159358722013755,1,1
"regulation of viral protein levels in host cell [GO:0046719]",0.30483986281689,1,1,1,1,1,1,1,1,1
"citric acid secretion [GO:0046720]",1,1,1,1,1,1,1,1,1,1
"formic acid secretion [GO:0046721]",1,1,1,1,1,1,1,1,1,1
"lactic acid secretion [GO:0046722]",1,1,1,1,1,1,1,1,1,1
"malic acid secretion [GO:0046723]",1,1,1,1,1,1,1,1,1,1
"oxalic acid secretion [GO:0046724]",1,1,1,1,1,1,1,1,1,1
"negative regulation of viral protein levels in host cell [GO:0046725]",1,1,1,1,1,1,1,1,1,1
"positive regulation of viral protein levels in host cell [GO:0046726]",1,1,1,1,1,1,1,1,1,1
"induction of host immune response by virus [GO:0046730]",0.552151996898022,1,1,1,1,1,1,1,1,1
"passive induction of host immune response by virus [GO:0046731]",1,1,1,1,1,1,1,1,1,1
"active induction of host immune response by virus [GO:0046732]",0.552151996898022,1,1,1,1,1,1,1,1,1
"passive induction of host humoral immune response by virus [GO:0046733]",1,1,1,1,1,1,1,1,1,1
"passive induction of host cell-mediated immune response by virus [GO:0046734]",1,1,1,1,1,1,1,1,1,1
"passive induction of host innate immune response by virus [GO:0046735]",1,1,1,1,1,1,1,1,1,1
"active induction of humoral immune response in host by virus [GO:0046736]",1,1,1,1,1,1,1,1,1,1
"active induction of cell-mediated immune response in host by virus [GO:0046737]",1,1,1,1,1,1,1,1,1,1
"active induction of innate immune response in host by virus [GO:0046738]",1,1,1,1,1,1,1,1,1,1
"spread of virus in multicellular host [GO:0046739]",1,1,1,1,1,1,1,1,1,1
"spread of virus in host, cell to cell [GO:0046740]",1,1,1,1,1,1,1,1,1,1
"spread of virus in host, tissue to tissue [GO:0046741]",1,1,1,1,1,1,1,1,1,1
"viral capsid transport in host cell nucleus [GO:0046742]",1,1,1,1,1,1,1,1,1,1
"viral capsid transport in host cell cytoplasm [GO:0046743]",1,1,1,1,1,1,1,1,1,1
"viral capsid envelopment [GO:0046744]",1,1,1,1,1,1,1,1,1,1
"viral capsid re-envelopment [GO:0046745]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"virus budding from nuclear membrane by viral capsid re-envelopment [GO:0046746]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"virus budding from Golgi membrane by viral capsid re-envelopment [GO:0046747]",1,1,1,1,1,1,1,1,1,1
"virus budding from ER membrane by viral capsid re-envelopment [GO:0046748]",1,1,1,1,1,1,1,1,1,1
"virus budding from nuclear membrane by viral capsid envelopment [GO:0046749]",1,1,1,1,1,1,1,1,1,1
"virus budding from Golgi membrane by viral capsid envelopment [GO:0046750]",1,1,1,1,1,1,1,1,1,1
"virus budding from ER membrane by viral capsid envelopment [GO:0046751]",1,1,1,1,1,1,1,1,1,1
"viral capsid precursor localization to host cell nucleus [GO:0046752]",1,1,1,1,1,1,1,1,1,1
"non-lytic viral release [GO:0046753]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"non-lytic viral exocytosis [GO:0046754]",1,1,1,1,1,1,1,1,1,1
"non-lytic virus budding [GO:0046755]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"lytic viral exocytosis [GO:0046756]",1,1,1,1,1,1,1,1,1,1
"lytic virus budding from ER membrane [GO:0046757]",1,1,1,1,1,1,1,1,1,1
"lytic virus budding from Golgi membrane [GO:0046758]",1,1,1,1,1,1,1,1,1,1
"lytic virus budding from plasma membrane [GO:0046759]",1,1,1,1,1,1,1,1,1,1
"non-lytic virus budding from Golgi membrane [GO:0046760]",1,1,1,1,1,1,1,1,1,1
"non-lytic virus budding from plasma membrane [GO:0046761]",1,1,1,1,1,1,1,1,1,1
"non-lytic virus budding from ER membrane [GO:0046762]",1,1,1,1,1,1,1,1,1,1
"virus budding from Golgi membrane [GO:0046763]",1,1,1,1,1,1,1,1,1,1
"virus budding from ER membrane [GO:0046764]",1,1,1,1,1,1,1,1,1,1
"virus budding from nuclear membrane [GO:0046765]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"virus budding from plasma membrane [GO:0046766]",1,1,1,1,1,1,1,1,1,1
"virus budding from plasma membrane by viral capsid envelopment [GO:0046767]",1,1,1,1,1,1,1,1,1,1
"virus budding from plasma membrane by viral capsid re-envelopment [GO:0046768]",1,1,1,1,1,1,1,1,1,1
"virus budding from inner nuclear membrane by viral capsid re-envelopment [GO:0046769]",1,1,1,1,1,1,1,1,1,1
"virus budding from outer nuclear membrane by viral capsid re-envelopment [GO:0046770]",1,1,1,1,1,1,1,1,1,1
"virus budding from inner nuclear membrane by viral capsid envelopment [GO:0046771]",1,1,1,1,1,1,1,1,1,1
"virus budding from outer nuclear membrane by viral capsid envelopment [GO:0046772]",1,1,1,1,1,1,1,1,1,1
"suppression by virus of host termination of protein biosynthetic process [GO:0046773]",1,1,1,1,1,1,1,1,1,1
"suppression by virus of host intracellular interferon activity [GO:0046774]",1,1,1,1,1,1,1,1,1,1
"suppression by virus of host cytokine production [GO:0046775]",1,1,1,1,1,1,1,1,1,1
"suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I [GO:0046776]",1,1,1,1,1,1,1,1,1,1
"protein autophosphorylation [GO:0046777]",0.778644611988387,0.395173299938174,0.729693357110755,0.211796670780585,0.895045687043278,0.383273678941559,0.591048764263627,0.315220286285526,1,1
"modification by virus of host mRNA processing [GO:0046778]",1,1,1,1,1,1,1,1,1,1
"suppression by virus of expression of host genes with introns [GO:0046779]",1,1,1,1,1,1,1,1,1,1
"suppression by virus of host mRNA splicing [GO:0046780]",1,1,1,1,1,1,1,1,1,1
"dispersion by virus of host splicing factors [GO:0046781]",1,1,1,1,1,1,1,1,1,1
"regulation of viral transcription [GO:0046782]",0.551295002859522,1,1,0.706785430827107,0.70678215695536,1,1,1,0.000817922450583651,0.0505132256812136
"modification by virus of host polysomes [GO:0046783]",1,1,1,1,1,1,1,1,1,1
"intronless viral mRNA export from host nucleus [GO:0046784]",1,1,1,0.404430643175149,1,1,1,0.0424530710285754,1,1
"microtubule polymerization [GO:0046785]",0.597102828307763,0.195874710426353,1,0.726343177701654,1,1,1,1,1,1
"viral replication complex formation and maintenance [GO:0046786]",1,1,1,1,1,1,1,1,1,1
"viral DNA repair [GO:0046787]",1,1,1,1,1,1,1,1,1,1
"egress of virus within host cell [GO:0046788]",0.270475867417991,1,1,0.70357034216719,0.635344266195125,1,1,1,1,1
"suppression by virus of host complement neutralization [GO:0046791]",1,1,1,1,1,1,1,1,1,1
"suppression by virus of host cell cycle arrest [GO:0046792]",1,1,1,1,1,1,1,1,1,1
"induction by virus of modification of host RNA polymerase II [GO:0046793]",1,1,1,1,1,1,1,1,1,1
"virion transport [GO:0046794]",1,1,1,0.228253845159623,1,1,1,1,1,1
"intracellular virion transport [GO:0046795]",1,1,1,0.228253845159623,1,1,1,1,1,1
"viral procapsid maturation [GO:0046797]",1,1,1,1,1,1,1,1,1,1
"recruitment of helicase-primase complex to DNA lesions [GO:0046799]",1,1,1,1,1,1,1,1,1,1
"enhancement of virulence [GO:0046800]",1,1,1,1,1,1,1,1,1,1
"intracellular transport of viral capsid in host cell [GO:0046801]",1,1,1,1,1,1,1,1,1,1
"egress of viral procapsid from host cell nucleus [GO:0046802]",1,1,1,1,1,1,1,1,1,1
"reduction of virulence [GO:0046803]",1,1,1,1,1,1,1,1,1,1
"peptide cross-linking via (2S,3S,4Xi,6R)-3-methyl-lanthionine sulfoxide [GO:0046804]",1,1,1,1,1,1,1,1,1,1
"protein-heme linkage via 1'-L-histidine [GO:0046805]",1,1,1,1,1,1,1,1,1,1
"viral scaffold assembly and maintenance [GO:0046807]",1,1,1,1,1,1,1,1,1,1
"virion attachment, binding of host cell surface receptor [GO:0046813]",0.30483986281689,1,1,1,1,1,1,1,1,1
"virion attachment, binding of host cell surface coreceptor [GO:0046814]",1,1,1,1,1,1,1,0.0214553444487527,1,1
"genome retention in viral capsid [GO:0046815]",1,1,1,1,1,1,1,1,1,1
"protein secretion by the type V secretion system [GO:0046819]",1,1,1,1,1,1,1,1,1,1
"regulation of nucleocytoplasmic transport [GO:0046822]",0.178492292852227,0.866152697273789,0.678544024740788,0.926488369586924,0.831169160956659,0.342494590607418,0.539621817969018,1,0.046316870375692,0.09108537692732
"negative regulation of nucleocytoplasmic transport [GO:0046823]",0.0802178649672805,0.563587814105028,0.373703027780914,0.992769457255472,0.556221470578908,1,1,1,1,1
"positive regulation of nucleocytoplasmic transport [GO:0046824]",0.551295002859522,1,1,0.521653447959162,0.919908248741656,0.203533366548046,1,1,0.01483480038431,0.0505132256812136
"regulation of protein export from nucleus [GO:0046825]",0.849968678376245,1,1,0.199779936249028,0.506393647201081,1,1,1,1,1
"negative regulation of protein export from nucleus [GO:0046826]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"positive regulation of protein export from nucleus [GO:0046827]",0.761443147362903,1,1,0.22557295937955,1,1,1,1,1,1
"regulation of RNA import into nucleus [GO:0046828]",1,1,1,1,1,1,1,1,1,1
"negative regulation of RNA import into nucleus [GO:0046829]",1,1,1,1,1,1,1,1,1,1
"positive regulation of RNA import into nucleus [GO:0046830]",1,1,1,1,1,1,1,1,1,1
"regulation of RNA export from nucleus [GO:0046831]",0.30483986281689,1,1,1,1,1,1,1,1,1
"negative regulation of RNA export from nucleus [GO:0046832]",0.552151996898022,1,1,1,1,1,1,1,1,1
"positive regulation of RNA export from nucleus [GO:0046833]",1,1,1,1,1,1,1,1,1,1
"lipid phosphorylation [GO:0046834]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"carbohydrate phosphorylation [GO:0046835]",1,1,1,1,1,1,1,1,1,1
"glycolipid transport [GO:0046836]",1,1,1,1,1,1,1,1,1,1
"phosphorylated carbohydrate dephosphorylation [GO:0046838]",0.87100336006633,1,1,0.321384280283455,1,1,1,1,0.0369338636846593,1
"phospholipid dephosphorylation [GO:0046839]",1,1,1,0.540406788508398,0.261028823563141,1,1,1,0.0223240320595425,1
"trisporic acid metabolic process [GO:0046841]",1,1,1,1,1,1,1,1,1,1
"trisporic acid biosynthetic process [GO:0046842]",1,1,1,1,1,1,1,1,1,1
"dorsal appendage formation [GO:0046843]",1,1,1,1,1,1,1,1,1,1
"micropyle formation [GO:0046844]",1,1,1,1,1,1,1,1,1,1
"branched duct epithelial cell fate determination, open tracheal system [GO:0046845]",1,1,1,1,1,1,1,1,1,1
"filopodium assembly [GO:0046847]",0.744437510800297,1,0.25576586195767,0.285073586908006,0.702019344046815,1,1,1,1,1
"bone remodeling [GO:0046849]",0.743129117079822,1,0.218182608855642,0.175570888489212,1,1,1,1,1,1
"regulation of bone remodeling [GO:0046850]",0.748364503244271,1,0.137259884330185,0.413825104642368,1,1,1,1,1,1
"negative regulation of bone remodeling [GO:0046851]",1,1,0.0480102795107887,0.404430643175149,1,1,1,1,1,1
"positive regulation of bone remodeling [GO:0046852]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"inositol or phosphatidylinositol phosphorylation [GO:0046853]",1,1,1,1,1,1,1,1,1,1
"phosphatidylinositol phosphorylation [GO:0046854]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"inositol phosphate dephosphorylation [GO:0046855]",0.87100336006633,1,1,0.321384280283455,1,1,1,1,0.0369338636846593,1
"phosphatidylinositol dephosphorylation [GO:0046856]",1,1,1,0.404430643175149,1,1,1,1,0.0149376563736566,1
"isoprenoid transport [GO:0046864]",1,1,1,1,1,1,1,1,1,1
"terpenoid transport [GO:0046865]",1,1,1,1,1,1,1,1,1,1
"tetraterpenoid transport [GO:0046866]",1,1,1,1,1,1,1,1,1,1
"carotenoid transport [GO:0046867]",1,1,1,1,1,1,1,1,1,1
"iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-aspartato diiron disulfide [GO:0046869]",1,1,1,1,1,1,1,1,1,1
"quinolinate metabolic process [GO:0046874]",0.552151996898022,1,1,1,1,1,1,1,1,1
"regulation of saliva secretion [GO:0046877]",1,1,1,1,1,1,1,1,1,1
"positive regulation of saliva secretion [GO:0046878]",1,1,1,1,1,1,1,1,1,1
"hormone secretion [GO:0046879]",0.745050032572587,0.500378363034216,0.244662769302589,0.263590271705691,0.736526391430497,1,1,0.571717553601693,1,1
"regulation of follicle-stimulating hormone secretion [GO:0046880]",0.552151996898022,1,1,1,1,1,1,1,1,1
"positive regulation of follicle-stimulating hormone secretion [GO:0046881]",0.552151996898022,1,1,1,1,1,1,1,1,1
"negative regulation of follicle-stimulating hormone secretion [GO:0046882]",1,1,1,1,1,1,1,1,1,1
"regulation of hormone secretion [GO:0046883]",0.788184428681078,0.458222477139113,0.21757946115795,0.179856156210895,0.872754992312267,1,1,0.542779596070777,1,1
"follicle-stimulating hormone secretion [GO:0046884]",0.799464130979156,1,1,1,0.182619469506778,1,1,1,1,1
"regulation of hormone biosynthetic process [GO:0046885]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"positive regulation of hormone biosynthetic process [GO:0046886]",1,1,1,1,1,1,1,1,1,1
"positive regulation of hormone secretion [GO:0046887]",0.270475867417991,1,1,0.408389545229108,1,1,1,1,1,1
"negative regulation of hormone secretion [GO:0046888]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"positive regulation of lipid biosynthetic process [GO:0046889]",0.998388963574228,1,0.178712031000753,0.018458669603203,0.553774748595233,1,1,1,1,1
"regulation of lipid biosynthetic process [GO:0046890]",0.768910064431305,1,0.473034471866608,0.22597324759952,0.4610460044445,1,1,0.431545117480076,1,1
"peptidyl-cysteine S-carbamoylation [GO:0046891]",1,1,1,1,1,1,1,1,1,1
"peptidyl-S-carbamoyl-L-cysteine dehydration [GO:0046892]",1,1,1,1,1,1,1,1,1,1
"iron incorporation into hydrogenase diiron subcluster via L-cysteine ligation [GO:0046893]",1,1,1,1,1,1,1,1,1,1
"enzyme active site formation via S-amidino-L-cysteine [GO:0046894]",1,1,1,1,1,1,1,1,1,1
"N-terminal peptidyl-isoleucine methylation [GO:0046895]",1,1,1,1,1,1,1,1,1,1
"N-terminal peptidyl-leucine methylation [GO:0046896]",1,1,1,1,1,1,1,1,1,1
"N-terminal peptidyl-tyrosine methylation [GO:0046897]",1,1,1,1,1,1,1,1,1,1
"response to cycloheximide [GO:0046898]",1,1,1,1,1,1,1,1,1,1
"tetrahydrofolylpolyglutamate metabolic process [GO:0046900]",1,1,1,1,1,1,1,1,1,1
"tetrahydrofolylpolyglutamate biosynthetic process [GO:0046901]",1,1,1,1,1,1,1,1,1,1
"regulation of mitochondrial membrane permeability [GO:0046902]",0.87100336006633,1,1,0.321384280283455,1,1,1,0.102796551030731,1,1
"secretion [GO:0046903]",0.651506272355658,0.850581181294993,0.122257166991869,0.120702187451057,0.581214855767293,0.720505402710717,1,0.804116788025837,1,1
"intracellular transport [GO:0046907]",0.939177213285097,0.401279833958183,0.850667313721361,0.308340468671654,0.0855892571384028,0.959552710315427,0.688324988520676,0.61489952483589,0.00392562560149495,0.518368398401984
"negative regulation of crystal formation [GO:0046908]",1,1,1,1,1,1,1,1,1,1
"intermembrane transport [GO:0046909]",1,1,1,1,1,1,1,1,1,1
"cellular transition metal ion homeostasis [GO:0046916]",1,1,1,1,1,1,1,1,1,1
"N-terminal peptidyl-glycine N-palmitoylation [GO:0046918]",1,1,1,1,1,1,1,1,1,1
"peptide cross-linking via 2-(S-L-cysteinyl)-L-phenylalanine [GO:0046924]",1,1,1,1,1,1,1,1,1,1
"peptide cross-linking via 2-(S-L-cysteinyl)-D-phenylalanine [GO:0046925]",1,1,1,1,1,1,1,1,1,1
"peptide cross-linking via 2-(S-L-cysteinyl)-D-allo-threonine [GO:0046926]",1,1,1,1,1,1,1,1,1,1
"peptidyl-threonine racemization [GO:0046927]",1,1,1,1,1,1,1,1,1,1
"regulation of neurotransmitter secretion [GO:0046928]",1,1,1,0.0520770471440969,1,1,1,1,1,1
"negative regulation of neurotransmitter secretion [GO:0046929]",1,1,1,1,1,1,1,1,1,1
"pore complex assembly [GO:0046931]",0.959811006139677,1,0.0937272452327707,0.22557295937955,1,1,1,1,1,1
"phytochelatin metabolic process [GO:0046937]",1,1,1,1,1,1,1,1,1,1
"phytochelatin biosynthetic process [GO:0046938]",1,1,1,1,1,1,1,1,1,1
"nucleotide phosphorylation [GO:0046939]",1,1,1,1,1,1,1,1,1,1
"nucleoside monophosphate phosphorylation [GO:0046940]",0.552151996898022,1,1,1,1,1,1,1,1,1
"carboxylic acid transport [GO:0046942]",0.795493564806263,0.825886496470087,0.25372646592036,0.104371523531919,0.542870661719029,1,1,1,1,1
"protein carbamoylation [GO:0046944]",1,1,1,1,1,1,1,1,1,1
"N-terminal peptidyl-alanine N-carbamoylation [GO:0046945]",1,1,1,1,1,1,1,1,1,1
"hydroxylysine metabolic process [GO:0046946]",1,1,1,1,1,1,1,1,1,1
"hydroxylysine biosynthetic process [GO:0046947]",1,1,1,1,1,1,1,1,1,1
"hydroxylysine catabolic process [GO:0046948]",1,1,1,1,1,1,1,1,1,1
"fatty-acyl-CoA biosynthetic process [GO:0046949]",0.761443147362903,1,0.00341222912026623,1,1,1,1,1,1,1
"cellular ketone body metabolic process [GO:0046950]",1,1,1,1,1,1,1,1,1,1
"ketone body biosynthetic process [GO:0046951]",1,1,1,1,1,1,1,1,1,1
"ketone body catabolic process [GO:0046952]",1,1,1,1,1,1,1,1,1,1
"positive phototaxis [GO:0046956]",1,1,1,1,1,1,1,1,1,1
"negative phototaxis [GO:0046957]",1,1,1,1,1,1,1,1,1,1
"nonassociative learning [GO:0046958]",1,1,1,1,1,1,1,1,1,1
"habituation [GO:0046959]",1,1,1,1,1,1,1,1,1,1
"sensitization [GO:0046960]",1,1,1,1,1,1,1,1,1,1
"3'-phosphoadenosine 5'-phosphosulfate transport [GO:0046963]",1,1,1,1,1,1,1,1,1,1
"cytosol to ER transport [GO:0046967]",0.30483986281689,1,1,1,1,1,1,1,1,1
"peptide antigen transport [GO:0046968]",0.552151996898022,1,1,1,1,1,1,1,1,1
"regulation of hemoglobin biosynthetic process [GO:0046984]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"positive regulation of hemoglobin biosynthetic process [GO:0046985]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"negative regulation of hemoglobin biosynthetic process [GO:0046986]",1,1,1,1,1,1,1,1,1,1
"regulation of conjugation [GO:0046999]",1,1,1,1,1,1,1,1,1,1
"regulation of response to osmotic stress [GO:0047484]",1,1,1,1,1,1,1,1,1,1
"vesicle transport along microtubule [GO:0047496]",0.748364503244271,0.230194594745972,1,0.413825104642368,1,1,1,1,1,1
"mitochondrion transport along microtubule [GO:0047497]",0.799464130979156,1,1,0.404430643175149,1,1,1,1,1,1
"antigen processing and presentation of peptide antigen [GO:0048002]",0.789305509993912,0.408091319876513,0.281150689460518,0.271980418667588,0.86606766341724,1,0.362740302580686,0.488053970311913,0.437113137598017,1
"antigen processing and presentation of lipid antigen via MHC class Ib [GO:0048003]",1,1,1,1,1,1,1,1,1,1
"antigen processing and presentation, endogenous lipid antigen via MHC class Ib [GO:0048006]",1,1,1,1,1,1,1,1,1,1
"antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]",1,1,1,1,1,1,1,1,1,1
"platelet-derived growth factor receptor signaling pathway [GO:0048008]",0.612892269734972,1,1,0.199779936249028,1,1,1,1,1,1
"insulin-like growth factor receptor signaling pathway [GO:0048009]",0.577954310046501,0.122591698222137,1,1,1,1,1,1,1,1
"vascular endothelial growth factor receptor signaling pathway [GO:0048010]",0.743821013394687,0.294514790896458,1,0.576536352874588,0.553774748595233,1,1,1,1,1
"nerve growth factor receptor signaling pathway [GO:0048011]",0.800666365652908,0.686186186179836,0.321206705940477,0.158283931979283,0.534723299738916,0.527261506486991,0.749939557919231,0.832699706280005,1,1
