"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"regulation of carbon utilization [GO:0043609]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of carbohydrate utilization [GO:0043610]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"isoprene metabolic process [GO:0043611]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"isoprene biosynthetic process [GO:0043612]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"isoprene catabolic process [GO:0043613]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"astrocyte cell migration [GO:0043615]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"keratinocyte proliferation [GO:0043616]",0.93163214690327,1,1,0.25755347072426,0.215322389972321,1,1,1,1,1,0.0611158626662254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular response to sucrose starvation [GO:0043617]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]",0.664397246416803,1,0.0236982193216702,1,1,0.262015727012631,1,0.0454110805805643,1,1,1,1,0.205721066627649,1,1,1,1,0.33446107368869,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of DNA-dependent transcription in response to stress [GO:0043620]",0.728324466299513,1,0.0334641076647293,1,1,0.30557482013411,1,0.0632812021350105,1,1,1,1,0.0772757857432717,1,1,1,1,0.386568072428794,1,0.0827557897609228,1,1,1,1,1,1,1,1,1,1
"cortical microtubule organization [GO:0043622]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular protein complex assembly [GO:0043623]",0.757937901214476,0.434481269024544,0.725647485622847,0.980576605274104,0.851754977900432,0.472313589565715,0.339196988002565,0.273194077274383,0.115953873117804,1,0.126059009961093,1,0.942370521838038,0.362354169397919,0.226616252192248,1,0.151572646437553,0.629168822779159,1,1,0.000534876386749629,1,1,0.402378994994004,1,1,1,1,1,1
"cellular protein complex disassembly [GO:0043624]",0.99277337733034,0.602861358556923,0.187329365657314,0.876071253386483,0.325248395679027,0.0744911430398714,0.615851796309371,0.681481524014202,1,1,1,0.3047347199205,0.297619666532349,0.18504064434558,1,0.160184649540496,1,0.0413453676595722,0.125054361860933,1,0.59244585653274,1,1,1,1,1,1,1,1,1
"response to estrogen stimulus [GO:0043627]",0.827431837168963,0.245776382329592,1,0.672933541192699,0.219467559141814,1,0.818011605881501,1,1,1,0.21073777019231,1,0.205721066627649,1,1,1,1,1,1,1,0.239788925843613,1,1,1,1,1,1,1,1,1
"ncRNA 3'-end processing [GO:0043628]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0146051441127052,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ncRNA polyadenylation [GO:0043629]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process [GO:0043630]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RNA polyadenylation [GO:0043631]",0.754348586353189,0.123275277606359,1,0.406229683362153,1,1,0.548272761291831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0443864088603815,1,1,1,1,1,1
"modification-dependent macromolecule catabolic process [GO:0043632]",0.611207906985391,0.906295646686672,0.871604174553635,0.545727410070709,0.608491993122425,0.105695333761603,0.263596311154711,0.552431248096711,1,1,0.862815461086004,1,0.407986318733451,0.599283571955699,1,0.84340855037651,1,0.242825172142391,1,1,0.394986719868599,0.397049162182273,0.528320951061425,1,1,0.190962970697784,1,1,1,1
"polyadenylation-dependent RNA catabolic process [GO:0043633]",0.738462917214171,1,1,0.138329411085399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"polyadenylation-dependent ncRNA catabolic process [GO:0043634]",1,1,1,0.0717332299340828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"methylnaphthalene catabolic process [GO:0043635]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"bisphenol A catabolic process [GO:0043636]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"puromycin metabolic process [GO:0043637]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"puromycin biosynthetic process [GO:0043638]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"benzoate catabolic process [GO:0043639]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"benzoate catabolic process via hydroxylation [GO:0043640]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"novobiocin metabolic process [GO:0043641]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"novobiocin biosynthetic process [GO:0043642]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tetracycline metabolic process [GO:0043643]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tetracycline biosynthetic process [GO:0043644]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cephalosporin metabolic process [GO:0043645]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cephalosporin biosynthetic process [GO:0043646]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"inositol phosphate metabolic process [GO:0043647]",0.840066910953784,1,1,1,1,1,0.208746854837177,1,1,1,1,1,0.371385938432625,1,1,1,1,1,1,1,0.135973119981702,0.0316219523844237,1,1,1,1,1,1,1,1
"dicarboxylic acid metabolic process [GO:0043648]",0.21058701293853,1,1,0.738515613527751,0.664518985926124,0.30557482013411,0.8706192145693,0.342570893960753,1,1,1,1,1,1,1,1,1,0.386568072428794,1,1,1,0.0697905666340159,1,1,1,1,1,1,1,1
"dicarboxylic acid catabolic process [GO:0043649]",0.0989275606470143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.15021097320837,1,1,1,1,1,1,1,1,1,1,1,1
"dicarboxylic acid biosynthetic process [GO:0043650]",0.738462917214171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0527966717096523,1,1,1,1,1,1,1,1,1,1,1,1
"linoleic acid metabolic process [GO:0043651]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"engulfment of apoptotic cell [GO:0043652]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial fragmentation involved in apoptotic process [GO:0043653]",1,1,1,1,1,1,0.107276722243764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"recognition of apoptotic cell [GO:0043654]",1,1,1,1,1,1,0.107276722243764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of phosphoprotein phosphatase activity [GO:0043666]",0.977083375588663,1,1,0.488437195760889,0.420602867428015,1,0.64007773487047,1,1,0.0377577252934013,1,1,0.406846635915272,1,1,1,1,1,1,0.0422471840245628,1,0.035505989061366,1,1,1,1,1,1,1,1
"type IV pilus biogenesis [GO:0043683]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"conversion of glutamyl-tRNA to glutaminyl-tRNA [GO:0043685]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"co-translational protein modification [GO:0043686]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"post-translational protein modification [GO:0043687]",0.0573118880922262,1,1,0.656092256500105,0.671454928490139,0.4590078257497,0.733306851707702,0.834890887620625,1,1,1,1,0.637927228817412,0.125730023886153,0.221542900854906,0.679711194056035,1,1,1,1,0.162777538362277,0.267043360213403,1,1,1,1,1,1,1,1
"conversion of aspartyl-tRNA to asparaginyl-tRNA [GO:0043688]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell-cell adhesion involved in flocculation [GO:0043689]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell-cell adhesion involved in flocculation via cell wall protein-carbohydrate interaction [GO:0043690]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"reverse cholesterol transport [GO:0043691]",0.173448199342314,1,1,1,1,1,0.433086478970528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"monoterpene metabolic process [GO:0043692]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"monoterpene biosynthetic process [GO:0043693]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"monoterpene catabolic process [GO:0043694]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"detection of pheromone [GO:0043695]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"dedifferentiation [GO:0043696]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0146051441127052,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell dedifferentiation [GO:0043697]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0146051441127052,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"photoreceptor cell fate determination [GO:0043703]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"photoreceptor cell fate specification [GO:0043704]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cyanophycin metabolic process [GO:0043705]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"heterophilic cell adhesion involved in cytoadherence to microvasculature, mediated by parasite protein [GO:0043706]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell adhesion involved in single-species biofilm formation in or on host organism [GO:0043707]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell adhesion involved in biofilm formation [GO:0043708]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell adhesion involved in single-species biofilm formation [GO:0043709]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell adhesion involved in multi-species biofilm formation [GO:0043710]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"pilus organization [GO:0043711]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of multi-organism process [GO:0043900]",0.870624501381926,0.733148464486833,0.68187838089228,0.570690827891417,0.596336405433125,0.164905030515177,0.213752006357189,0.805369561690075,1,1,0.299442603616222,1,0.763445905144727,1,0.203533366548046,1,1,0.851468950872946,0.173957522854045,1,0.723080372677846,0.00265910231549534,1,1,0.0357083864181352,0.111520839532654,0.127552872608771,1,1,1
"negative regulation of multi-organism process [GO:0043901]",0.996030645072819,1,0.177656440610577,0.211029213076844,0.0298548350561424,1,1,1,1,1,0.172452093773919,1,1,1,1,1,1,1,0.0321114048054922,1,0.196906678435632,0.0470678585464294,1,1,1,1,1,1,1,1
"positive regulation of multi-organism process [GO:0043902]",0.448808578248662,1,1,1,0.551804454410983,0.12730451584213,0.107926801804281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0067208559453113,1,1,0.0159338888765951,0.0508919228033951,0.0584955491163578,1,1,1
"regulation of symbiosis, encompassing mutualism through parasitism [GO:0043903]",0.93163214690327,1,0.0630871429420563,1,0.0191260374169727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by host of viral transcription [GO:0043921]",0.47855467453006,1,1,1,1,1,0.433086478970528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0198788066891938,1,1,1,1,1,1,1,1
"negative regulation by host of viral transcription [GO:0043922]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00400672095127308,1,1,1,1,1,1,1,1
"positive regulation by host of viral transcription [GO:0043923]",0.295490789417412,1,1,1,1,1,0.364922170343198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"exonucleolytic nuclear-transcribed mRNA catabolic process involved in endonucleolytic cleavage-dependent decay [GO:0043927]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay [GO:0043928]",0.362017088293353,1,1,0.073858749472637,1,1,0.796098017151144,1,1,1,1,1,0.556359571676093,1,1,0.186292586484045,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"primary ovarian follicle growth involved in double layer follicle stage [GO:0043929]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"primary ovarian follicle growth involved in primary follicle stage [GO:0043930]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ossification involved in bone maturation [GO:0043931]",0.738462917214171,1,1,1,1,1,1,1,1,1,1,1,0.109536442287888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ossification involved in bone remodeling [GO:0043932]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"macromolecular complex subunit organization [GO:0043933]",0.929284961614762,0.821775621764923,0.218115363126428,0.987038097604562,0.41978411327801,0.153867345455704,0.491213347786376,0.550512846959944,0.0100552742521578,1,0.0474180931882801,0.387337790526318,0.443392605113746,0.538215988984293,0.632242825726922,0.154045655355163,0.47261904898946,0.292777458834759,0.568314126498724,0.772741630824209,0.00324053604663963,0.710877403927739,1,0.588670216738071,1,1,1,1,1,1
"sporulation [GO:0043934]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sexual sporulation resulting in formation of a cellular spore [GO:0043935]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"asexual sporulation resulting in formation of a cellular spore [GO:0043936]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of sporulation [GO:0043937]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of sporulation [GO:0043938]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of sporulation [GO:0043939]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043940]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043941]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043942]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043943]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043944]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043945]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of catalytic activity in other organism involved in symbiotic interaction [GO:0043946]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation by host of symbiont catalytic activity [GO:0043947]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation by symbiont of host catalytic activity [GO:0043948]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cAMP-mediated signaling [GO:0043949]",0.208120394063177,1,1,1,0.0595117802263517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of cAMP-mediated signaling [GO:0043950]",0.238659998644689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of cAMP-mediated signaling [GO:0043951]",0.47855467453006,1,1,1,0.0306446128805868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein transport by the Sec complex [GO:0043952]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein transport by the Tat complex [GO:0043953]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cellular component maintenance [GO:0043954]",0.808873499146968,1,1,1,0.0177742941417304,1,1,1,1,1,1,0.0713170568529776,0.440311292584648,1,1,1,0.0205002776390235,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation by host of symbiont adenylate cyclase-mediated signal transduction [GO:0043962]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modulation by symbiont of host adenylate cyclase-mediated signal transduction [GO:0043963]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation by symbiont of host adenylate cyclase-mediated signal transduction [GO:0043964]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation by symbiont of host adenylate cyclase-mediated signal transduction [GO:0043965]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3 acetylation [GO:0043966]",0.457695017377778,1,0.290003969545874,0.790966307938642,0.720422796853922,1,0.395143155351554,0.387016701141868,1,1,0.282117286642878,1,1,1,1,1,1,0.107352029652802,1,1,1,1,1,1,1,1,1,1,1,1
"histone H4 acetylation [GO:0043967]",0.461826616422356,1,0.242086633943292,0.718261065796824,0.643508130949715,1,0.101009609679155,1,1,1,1,1,1,1,0.0535875903176548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2A acetylation [GO:0043968]",0.797955444611462,1,1,0.310839106796681,0.261491834245254,1,0.433086478970528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2B acetylation [GO:0043969]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-K9 acetylation [GO:0043970]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-K18 acetylation [GO:0043971]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-K23 acetylation [GO:0043972]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-K4 acetylation [GO:0043973]",1,1,1,1,0.0588083236396537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-K27 acetylation [GO:0043974]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-K36 acetylation [GO:0043975]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-K79 acetylation [GO:0043976]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2A-K5 acetylation [GO:0043977]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2A-K9 acetylation [GO:0043978]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2B-K5 acetylation [GO:0043979]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2B-K12 acetylation [GO:0043980]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H4-K5 acetylation [GO:0043981]",0.338478461899593,1,0.122224134646116,1,1,1,0.208746854837177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H4-K8 acetylation [GO:0043982]",0.338478461899593,1,0.122224134646116,1,1,1,0.208746854837177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H4-K12 acetylation [GO:0043983]",0.670195136578901,1,0.0630871429420563,1,1,1,0.364922170343198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H4-K16 acetylation [GO:0043984]",0.349051289413576,1,0.150388634182807,1,1,1,0.0831453724261064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H4-R3 methylation [GO:0043985]",0.738462917214171,1,0.0320532998007536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-S10 phosphorylation [GO:0043987]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H3-S28 phosphorylation [GO:0043988]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H4-S1 phosphorylation [GO:0043989]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2A-S1 phosphorylation [GO:0043990]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"histone H2B-S14 phosphorylation [GO:0043991]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"movement in host [GO:0044000]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"migration in host [GO:0044001]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"acquisition of nutrients from host [GO:0044002]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"modification by symbiont of host morphology or physiology [GO:0044003]",0.322489476732914,1,1,1,1,1,0.493942431176227,1,1,1,0.0902697255058741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"disruption by symbiont of host cell [GO:0044004]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"induction by symbiont in host of tumor, nodule, or growth [GO:0044005]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"induction by symbiont in host of tumor, nodule, or growth containing transformed cells [GO:0044006]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"dissemination or transmission of symbiont from host [GO:0044007]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"dissemination or transmission of symbiont from host by vector [GO:0044008]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"viral transmission by vector [GO:0044009]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"single-species biofilm formation [GO:0044010]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"single-species biofilm formation on inanimate substrate [GO:0044011]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNA hypermethylation [GO:0044026]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"hypermethylation of CpG island [GO:0044027]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNA hypomethylation [GO:0044028]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
